Author,Year,TP,FP,FN,TN
Alibay,2005,59,53,1,47
Arques,2005,31,14,1,24
Barcase,2004,55,4,2,37
Blonde-Cynober,2011,23,12,3,26
Chenevier-Gobeaux,2010,114,155,1,108
Chung,2006,72,42,0,29
Dao,2001,91,9,6,144
Davis,1994,26,2,6,18
Lainchbury,2003,68,69,2,66
Logeart,2002,110,33,5,15
Lokuge,2010,252,166,22,172
Maisel,2002,670,202,74,640
Maisel,2010,543,409,25,664
Mueller,2005,132,44,5,70
Parab,2005,45,17,2,6
Ray,2004,127,68,14,99
Rogers,2009,353,115,15,257
Sanz,2006,43,3,2,27
Wang,2010,46,23,3,12
