Test,Study ID,Year of study,TP,FP,TN,FN,Test subgroup,Visual,Radiograph,Pair or triple,
Fluoro,Achilleos 2013,2013,27,2,0,9,Red,ICDAS,Conv,Two way,2994
Fluoro,Akarsu 2006,2006,112,11,27,15,Red,ERK,Conv,Two way,
Fluoro,Apostolopoulou 2009,2009,98,1,1,11,Red,ICDAS,Conv,Two way,
Fluoro,Attrill 2001,2001,27,4,19,8,Red,ICDAS,Conv,Two way,
Fluoro,Bussaneli 2015,2015,41,6,11,1,Red,Other,Conv,Two way,
Fluoro,Bussaneli 2015b,2015,44,4,24,22,Red,ICDAS,Conv,Two way,
Fluoro,Castilho 2016,2016,28,6,2,7,Red,ICDAS,Conv,Two way,
Fluoro,Diniz 2019,2019,45,8,14,21,Red,ICDAS,Conv,Two way,
Fluoro,Iranzo-Cortes 2017,2017,42,7,8,7,Red,ICDAS,Conv,Two way,
Fluoro,Kim 2017,2017,72,16,94,98,Green,Other,Conv,Two way,
Fluoro,Lussi 2006,2006,78,5,56,11,Red,ICDAS,Conv,Two way,
Fluoro,Mansour 2016,2016,36,21,354,15,Red,ICDAS,Conv,Two way,
Fluoro,Matos 2011,2011,241,6,26,110,Red,ICDAS,Conv,Two way,
Fluoro,Mortensen 2018,2018,44,0,2,14,Red,ICDAS,Dig,Two way,
Fluoro,Paula 2011,2011,40,0,8,16,Red,Other,Conv,Two way,
Fluoro,Pereira 2011,2011,43,4,37,12,Red,ERK,Conv,Two way,
Fluoro,Rodrigues 2009,2009,33,1,11,103,Red,Other,Conv,Two way,
Fluoro,Seremidi 2012,2012,66,6,18,17,Red,ERK,Conv,Two way,
Fluoro,Souza 2014,2014,39,2,51,10,Red,ICDAS,Conv,Two way,
Fluoro,Souza 2018,2018,59,45,70,21,Red,ICDAS,Conv,Two way,
Fluoro,Sridhar 2009,2009,44,4,2,0,Red,ERK,Conv,Two way,
Fluoro,Teo 2014,2014,40,10,8,6,Red,ICDAS,Conv,Two way,
Fluoro,Van Hilsen 2013,2013,16,2,8,16,Red,ICDAS,Conv,Two way,
Fluoro,Virajsilp 2005,2005,67,1,17,22,Red,ICDAS,Conv,Two way,
Visual,Achilleos 2013,2013,29,2,0,7,Red,ICDAS,Conv,Two way,5192
Visual,Akarsu 2006,2006,115,4,34,12,Red,ERK,Conv,Two way,
Visual,Ashley 1998,1998,37,11,30,25,Red,Other,Conv,Two way,
Visual,Braun 2017,2017,64,9,10,1,Red,ICDAS,Conv,Two way,
Visual,Bussaneli 2015,2015,39,3,14,3,Red,Other,Conv,Two way,
Visual,Bussaneli 2015a,2015,43,15,13,6,Red,ICDAS,Conv,Two way,
Visual,Castilho 2016,2016,24,4,4,11,Red,ICDAS,Conv,Two way,
Visual,Chawla 2012,2012,44,4,49,38,,ICDAS,,Two way,
Visual,da Silva 2010,2010,28,5,17,0,Red,ICDAS,Conv,Two way,
Visual,Diniz 2011,2011,77,1,5,21,Red,ICDAS,Conv,Two way,
Visual,Diniz 2019,2019,57,7,15,9,Red,ICDAS,Conv,Two way,
Visual,Ekstrand 2011,2011,92,8,12,0,Red,ICDAS,Conv,Two way,
Visual,Freitas 2016,2016,62,14,39,51,Red,ICDAS,Conv,Two way,
Visual,Hintze 2003,2003,145,46,162,20,Red,Other,Conv,Two way,
Visual,Hintze 2003a,2003,84,0,15,59,,,,Two way,
Visual,Iranzo-Cortes 2017,2017,40,0,15,9,Red,ICDAS,Conv,Two way,
Visual,Kim 2017,2017,48,23,87,122,Green,Other,Conv,Two way,
Visual,Laitala 2017,2017,83,93,1595,332,Red,ICDAS,Conv,Two way,
Visual,Mitropoulos 2010,2010,23,8,8,1,Red,ICDAS,Conv,Two way,
Visual,Nakagawa 2013,2013,91,7,25,4,Red,ICDAS,Conv,Two way,
Visual,Nakajima 2014,2014,20,1,9,8,Red,ICDAS,Conv,Two way,
Visual,Paula 2011,2011,35,0,8,21,Red,Other,Conv,Two way,
Visual,Pereira 2011,2011,45,11,30,10,Red,ERK,Conv,Two way,
Visual,Rodrigues 2009,2009,129,10,2,7,Red,Other,Conv,Two way,
Visual,Seremidi 2012,2012,38,5,19,45,Red,ERK,Conv,Two way,
Visual,Shimada 2010,2010,76,5,11,19,Red,ICDAS,Conv,Two way,
Visual,Soviero 2012,2012,33,1,8,6,Red,ICDAS,Conv,Two way,
Visual,Sridhar 2009,2009,43,5,1,1,Red,ERK,Conv,Two way,
Visual,Teo 2014,2014,41,7,11,5,Red,ICDAS,Conv,Two way,
Visual,Xiao-Hua 2016,2016,57,10,15,15,Red,ICDAS,Conv,Two way,
Radio,Apostolopoulou 2009,2009,23,1,1,86,Red,ICDAS,Conv,Two way,3245
Radio,Ashley 1998,1998,12,8,33,50,Red,Other,Conv,Two way,
Radio,Astvaldsdottir 2012,2012,19,2,32,44,Red,ICDAS,Conv,Two way,
Radio,Attrill 2001,2001,22,4,19,13,Red,ICDAS,Conv,Two way,
Radio,Braun 2017,2017,27,1,18,38,Red,ICDAS,Conv,Two way,
Radio,Bussaneli 2015a,2015,28,8,20,21,Red,ICDAS,Conv,Two way,
Radio,Bussaneli 2015b,2015,9,2,26,57,Red,ICDAS,Conv,Two way,
Radio,da Silva 2010,2010,17,5,17,11,Red,ICDAS,Conv,Two way,
Radio,Diniz 2011,2011,43,0,6,55,Red,ICDAS,Conv,Two way,
Radio,Ekstrand 2011,2011,88,20,0,4,Red,ICDAS,Conv,Two way,
Radio,Freitas 2016,2016,55,11,42,58,Red,ICDAS,Conv,Two way,
Radio,Hintze 2003,2003,73,22,186,92,Red,Other,Conv,Two way,
Radio,Hintze 2003a,2003,54,1,89,14,,,,Two way,
Radio,Jost 2019,UNPUBLISHED,23,10,21,16,Red,ICDAS,Conv,Two way,
Radio,Lussi 2006,2006,60,20,41,29,Red,ICDAS,Conv,Two way,
Radio,Matos 2011,2011,31,0,32,320,Red,ICDAS,Conv,Two way,
Radio,Mialhe 2003,2003,111,15,13,60,Red,ICDAS,Conv,Two way,
Radio,Mitropoulos 2010,2010,11,0,16,13,Red,ICDAS,Conv,Two way,
Radio,Mortensen 2018,2018,38,0,2,20,Red,ICDAS,Dig,Two way,
Radio,Shimada 2014,2014,51,15,13,7,,,,Two way,
Radio,Simon 2016a,2016,7,3,76,23,Red,ICDAS,Conv,Two way,
Radio,Simon 2016,2016,1,0,20,88,Red,ICDAS,Conv,Two way,
Radio,Souza 2014,2014,28,2,51,21,Red,ICDAS,Conv,Two way,
Radio,Souza 2018,2018,70,15,100,10,Red,ICDAS,Conv,Two way,
