ID,Test,Population,C_001,C_002,C_003,C_004,C_005,C_006,C_007,C_008,C_009,C_010,fp_001,fp_002,fp_003,fp_004,fp_005,fp_006,fp_007,fp_008,fp_009,fp_010,tp_001,tp_002,tp_003,tp_004,tp_005,tp_006,tp_007,tp_008,tp_009,tp_010,N1,N2,T
Archer 2022,"OC-Sensor in other Sheffield article, Ball 2022 - but NR for this study",4,10,60,NA,NA,NA,NA,NA,NA,NA,NA,103,40,NA,NA,NA,NA,NA,NA,NA,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,155,11,2
Ball 2022 (personal communicaton),OC-Sensor Pledia analyser,3,10,20,50,80,120,150,NA,NA,NA,NA,417,252,139,97,68,48,NA,NA,NA,NA,16,15,11,10,10,9,NA,NA,NA,NA,2875,17,6
Cama 2022,OC-Sensor iO,1,4,10,NA,NA,NA,NA,NA,NA,NA,NA,2317,1159,NA,NA,NA,NA,NA,NA,NA,NA,69,67,NA,NA,NA,NA,NA,NA,NA,NA,5267,74,2
Chapman 2021,OC-Sensor DIANA,4,4,10,18.2,150,NA,NA,NA,NA,NA,NA,250,180,146,42,NA,NA,NA,NA,NA,NA,37,34,33,24,NA,NA,NA,NA,NA,NA,694,38,4
Crooks 2023,OC-Sensor iO (Bailey 2021a),1,4,10,20,40,NA,NA,NA,NA,NA,NA,12719,7176,4827,3119,NA,NA,NA,NA,NA,NA,488,461,437,396,NA,NA,NA,NA,NA,NA,33180,514,4
Georgiou Delisle 2022,OC Sensor iO,1,4,9.5,150,NA,NA,NA,NA,NA,NA,NA,2504,1027,252,NA,NA,NA,NA,NA,NA,NA,59,58,40,NA,NA,NA,NA,NA,NA,NA,4126,61,3
Juul 2018,OC-Sensor DIANA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,3408,54,1
Laszlo 2021,OC-Sensor iO,4,4,6,10,20,50,80,120,150,200,NA,948,842,699,509,297,237,187,171,154,NA,79,78,75,73,67,61,55,52,49,NA,3506,90,9
Maclean 2021a,OC-Sensor PLEDIA,4,10,150,NA,NA,NA,NA,NA,NA,NA,NA,100,28,NA,NA,NA,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,NA,NA,346,12,2
Mowat 2016,OC-Sensor io,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,409,151,NA,NA,NA,NA,NA,NA,NA,NA,28,25,NA,NA,NA,NA,NA,NA,NA,NA,722,28,2
Pin Vieto,OC-Sensor analyser NR,4,10,20,NA,NA,NA,NA,NA,NA,NA,NA,742,554,NA,NA,NA,NA,NA,NA,NA,NA,59,57,NA,NA,NA,NA,NA,NA,NA,NA,4470,73,2
