"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"1",2,0.91,0.81,0.97,0.22,0.2,0.24
"2",2.19,0.91,0.81,0.97,0.21,0.19,0.23
"3",2.37,0.91,0.81,0.97,0.2,0.19,0.23
"4",2.56,0.91,0.81,0.97,0.2,0.18,0.22
"5",2.74,0.91,0.8,0.97,0.19,0.18,0.21
"6",2.93,0.91,0.8,0.97,0.19,0.17,0.21
"7",3.11,0.91,0.8,0.97,0.18,0.17,0.2
"8",3.3,0.9,0.8,0.97,0.18,0.17,0.2
"9",3.48,0.9,0.8,0.97,0.18,0.16,0.19
"10",3.67,0.9,0.8,0.97,0.17,0.16,0.19
"11",3.85,0.9,0.8,0.97,0.17,0.16,0.19
"12",4.04,0.9,0.8,0.96,0.17,0.15,0.18
"13",4.22,0.9,0.8,0.96,0.16,0.15,0.18
"14",4.41,0.9,0.8,0.96,0.16,0.15,0.18
"15",4.59,0.9,0.8,0.96,0.16,0.15,0.17
"16",4.78,0.9,0.79,0.96,0.16,0.14,0.17
"17",4.96,0.9,0.79,0.96,0.15,0.14,0.17
"18",5.15,0.9,0.79,0.96,0.15,0.14,0.16
"19",5.33,0.9,0.79,0.96,0.15,0.14,0.16
"20",5.52,0.89,0.79,0.96,0.15,0.14,0.16
"21",5.7,0.89,0.79,0.96,0.15,0.14,0.16
"22",5.89,0.89,0.79,0.96,0.14,0.13,0.16
"23",6.08,0.89,0.79,0.96,0.14,0.13,0.15
"24",6.26,0.89,0.79,0.96,0.14,0.13,0.15
"25",6.45,0.89,0.79,0.96,0.14,0.13,0.15
"26",6.63,0.89,0.79,0.96,0.14,0.13,0.15
"27",6.82,0.89,0.79,0.96,0.14,0.13,0.15
"28",7,0.89,0.79,0.96,0.13,0.12,0.15
"29",7.19,0.89,0.79,0.96,0.13,0.12,0.14
"30",7.37,0.89,0.79,0.96,0.13,0.12,0.14
"31",7.56,0.89,0.79,0.96,0.13,0.12,0.14
"32",7.74,0.89,0.78,0.95,0.13,0.12,0.14
"33",7.93,0.89,0.78,0.95,0.13,0.12,0.14
"34",8.11,0.89,0.78,0.95,0.13,0.12,0.14
"35",8.3,0.89,0.78,0.95,0.13,0.12,0.14
"36",8.48,0.89,0.78,0.95,0.12,0.12,0.14
"37",8.67,0.88,0.78,0.95,0.12,0.11,0.13
"38",8.85,0.88,0.78,0.95,0.12,0.11,0.13
"39",9.04,0.88,0.78,0.95,0.12,0.11,0.13
"40",9.22,0.88,0.78,0.95,0.12,0.11,0.13
"41",9.41,0.88,0.78,0.95,0.12,0.11,0.13
"42",9.59,0.88,0.78,0.95,0.12,0.11,0.13
"43",9.78,0.88,0.78,0.95,0.12,0.11,0.13
"44",9.96,0.88,0.78,0.95,0.12,0.11,0.13
"45",10.15,0.88,0.78,0.95,0.12,0.11,0.13
"46",10.34,0.88,0.78,0.95,0.12,0.11,0.12
"47",10.52,0.88,0.78,0.95,0.11,0.11,0.12
"48",10.71,0.88,0.78,0.95,0.11,0.1,0.12
"49",10.89,0.88,0.78,0.95,0.11,0.1,0.12
"50",11.08,0.88,0.77,0.95,0.11,0.1,0.12
"51",11.26,0.88,0.77,0.95,0.11,0.1,0.12
"52",11.45,0.88,0.77,0.95,0.11,0.1,0.12
"53",11.63,0.88,0.77,0.95,0.11,0.1,0.12
"54",11.82,0.88,0.77,0.95,0.11,0.1,0.12
"55",12,0.88,0.77,0.95,0.11,0.1,0.12
"56",12.19,0.88,0.77,0.95,0.11,0.1,0.12
"57",12.37,0.88,0.77,0.95,0.11,0.1,0.12
"58",12.56,0.88,0.77,0.95,0.11,0.1,0.12
"59",12.74,0.88,0.77,0.95,0.11,0.1,0.12
"60",12.93,0.88,0.77,0.95,0.1,0.1,0.11
"61",13.11,0.88,0.77,0.95,0.1,0.1,0.11
"62",13.3,0.87,0.77,0.95,0.1,0.09,0.11
"63",13.48,0.87,0.77,0.95,0.1,0.09,0.11
"64",13.67,0.87,0.77,0.94,0.1,0.09,0.11
"65",13.85,0.87,0.77,0.94,0.1,0.09,0.11
"66",14.04,0.87,0.77,0.94,0.1,0.09,0.11
"67",14.23,0.87,0.77,0.94,0.1,0.09,0.11
"68",14.41,0.87,0.77,0.94,0.1,0.09,0.11
"69",14.6,0.87,0.77,0.94,0.1,0.09,0.11
"70",14.78,0.87,0.77,0.94,0.1,0.09,0.11
"71",14.97,0.87,0.77,0.94,0.1,0.09,0.11
"72",15.15,0.87,0.77,0.94,0.1,0.09,0.11
"73",15.34,0.87,0.77,0.94,0.1,0.09,0.11
"74",15.52,0.87,0.77,0.94,0.1,0.09,0.11
"75",15.71,0.87,0.76,0.94,0.1,0.09,0.11
"76",15.89,0.87,0.76,0.94,0.1,0.09,0.11
"77",16.08,0.87,0.76,0.94,0.1,0.09,0.11
"78",16.26,0.87,0.76,0.94,0.1,0.09,0.1
"79",16.45,0.87,0.76,0.94,0.09,0.09,0.1
"80",16.63,0.87,0.76,0.94,0.09,0.09,0.1
"81",16.82,0.87,0.76,0.94,0.09,0.09,0.1
"82",17,0.87,0.76,0.94,0.09,0.08,0.1
"83",17.19,0.87,0.76,0.94,0.09,0.08,0.1
"84",17.37,0.87,0.76,0.94,0.09,0.08,0.1
"85",17.56,0.87,0.76,0.94,0.09,0.08,0.1
"86",17.74,0.87,0.76,0.94,0.09,0.08,0.1
"87",17.93,0.87,0.76,0.94,0.09,0.08,0.1
"88",18.12,0.87,0.76,0.94,0.09,0.08,0.1
"89",18.3,0.87,0.76,0.94,0.09,0.08,0.1
"90",18.49,0.87,0.76,0.94,0.09,0.08,0.1
"91",18.67,0.87,0.76,0.94,0.09,0.08,0.1
"92",18.86,0.87,0.76,0.94,0.09,0.08,0.1
"93",19.04,0.87,0.76,0.94,0.09,0.08,0.1
"94",19.23,0.87,0.76,0.94,0.09,0.08,0.1
"95",19.41,0.87,0.76,0.94,0.09,0.08,0.1
"96",19.6,0.86,0.76,0.94,0.09,0.08,0.1
"97",19.78,0.86,0.76,0.94,0.09,0.08,0.1
"98",19.97,0.86,0.76,0.94,0.09,0.08,0.1
"99",20.15,0.86,0.76,0.94,0.09,0.08,0.1
"100",20.34,0.86,0.76,0.94,0.09,0.08,0.1
"101",20.52,0.86,0.76,0.94,0.09,0.08,0.1
"102",20.71,0.86,0.76,0.94,0.09,0.08,0.1
"103",20.89,0.86,0.76,0.94,0.09,0.08,0.1
"104",21.08,0.86,0.76,0.94,0.09,0.08,0.09
"105",21.26,0.86,0.75,0.94,0.09,0.08,0.09
"106",21.45,0.86,0.75,0.94,0.08,0.08,0.09
"107",21.63,0.86,0.75,0.94,0.08,0.08,0.09
"108",21.82,0.86,0.75,0.94,0.08,0.08,0.09
"109",22.01,0.86,0.75,0.94,0.08,0.08,0.09
"110",22.19,0.86,0.75,0.94,0.08,0.07,0.09
"111",22.38,0.86,0.75,0.94,0.08,0.07,0.09
"112",22.56,0.86,0.75,0.94,0.08,0.07,0.09
"113",22.75,0.86,0.75,0.94,0.08,0.07,0.09
"114",22.93,0.86,0.75,0.94,0.08,0.07,0.09
"115",23.12,0.86,0.75,0.94,0.08,0.07,0.09
"116",23.3,0.86,0.75,0.94,0.08,0.07,0.09
"117",23.49,0.86,0.75,0.94,0.08,0.07,0.09
"118",23.67,0.86,0.75,0.94,0.08,0.07,0.09
"119",23.86,0.86,0.75,0.94,0.08,0.07,0.09
"120",24.04,0.86,0.75,0.94,0.08,0.07,0.09
"121",24.23,0.86,0.75,0.93,0.08,0.07,0.09
"122",24.41,0.86,0.75,0.93,0.08,0.07,0.09
"123",24.6,0.86,0.75,0.93,0.08,0.07,0.09
"124",24.78,0.86,0.75,0.93,0.08,0.07,0.09
"125",24.97,0.86,0.75,0.93,0.08,0.07,0.09
"126",25.15,0.86,0.75,0.93,0.08,0.07,0.09
"127",25.34,0.86,0.75,0.93,0.08,0.07,0.09
"128",25.52,0.86,0.75,0.93,0.08,0.07,0.09
"129",25.71,0.86,0.75,0.93,0.08,0.07,0.09
"130",25.89,0.86,0.75,0.93,0.08,0.07,0.09
"131",26.08,0.86,0.75,0.93,0.08,0.07,0.09
"132",26.27,0.86,0.75,0.93,0.08,0.07,0.09
"133",26.45,0.86,0.75,0.93,0.08,0.07,0.09
"134",26.64,0.86,0.75,0.93,0.08,0.07,0.09
"135",26.82,0.86,0.75,0.93,0.08,0.07,0.09
"136",27.01,0.86,0.75,0.93,0.08,0.07,0.09
"137",27.19,0.86,0.75,0.93,0.08,0.07,0.09
"138",27.38,0.86,0.75,0.93,0.08,0.07,0.09
"139",27.56,0.86,0.75,0.93,0.08,0.07,0.09
"140",27.75,0.86,0.74,0.93,0.08,0.07,0.09
"141",27.93,0.86,0.74,0.93,0.08,0.07,0.09
"142",28.12,0.85,0.74,0.93,0.08,0.07,0.09
"143",28.3,0.85,0.74,0.93,0.08,0.07,0.08
"144",28.49,0.85,0.74,0.93,0.08,0.07,0.08
"145",28.67,0.85,0.74,0.93,0.08,0.07,0.08
"146",28.86,0.85,0.74,0.93,0.07,0.07,0.08
"147",29.04,0.85,0.74,0.93,0.07,0.07,0.08
"148",29.23,0.85,0.74,0.93,0.07,0.07,0.08
"149",29.41,0.85,0.74,0.93,0.07,0.07,0.08
"150",29.6,0.85,0.74,0.93,0.07,0.07,0.08
"151",29.78,0.85,0.74,0.93,0.07,0.06,0.08
"152",29.97,0.85,0.74,0.93,0.07,0.06,0.08
"153",30.16,0.85,0.74,0.93,0.07,0.06,0.08
"154",30.34,0.85,0.74,0.93,0.07,0.06,0.08
"155",30.53,0.85,0.74,0.93,0.07,0.06,0.08
"156",30.71,0.85,0.74,0.93,0.07,0.06,0.08
"157",30.9,0.85,0.74,0.93,0.07,0.06,0.08
"158",31.08,0.85,0.74,0.93,0.07,0.06,0.08
"159",31.27,0.85,0.74,0.93,0.07,0.06,0.08
"160",31.45,0.85,0.74,0.93,0.07,0.06,0.08
"161",31.64,0.85,0.74,0.93,0.07,0.06,0.08
"162",31.82,0.85,0.74,0.93,0.07,0.06,0.08
"163",32.01,0.85,0.74,0.93,0.07,0.06,0.08
"164",32.19,0.85,0.74,0.93,0.07,0.06,0.08
"165",32.38,0.85,0.74,0.93,0.07,0.06,0.08
"166",32.56,0.85,0.74,0.93,0.07,0.06,0.08
"167",32.75,0.85,0.74,0.93,0.07,0.06,0.08
"168",32.93,0.85,0.74,0.93,0.07,0.06,0.08
"169",33.12,0.85,0.74,0.93,0.07,0.06,0.08
"170",33.3,0.85,0.74,0.93,0.07,0.06,0.08
"171",33.49,0.85,0.74,0.93,0.07,0.06,0.08
"172",33.67,0.85,0.74,0.93,0.07,0.06,0.08
"173",33.86,0.85,0.74,0.93,0.07,0.06,0.08
"174",34.05,0.85,0.74,0.93,0.07,0.06,0.08
"175",34.23,0.85,0.74,0.93,0.07,0.06,0.08
"176",34.42,0.85,0.74,0.93,0.07,0.06,0.08
"177",34.6,0.85,0.74,0.93,0.07,0.06,0.08
"178",34.79,0.85,0.74,0.93,0.07,0.06,0.08
"179",34.97,0.85,0.74,0.93,0.07,0.06,0.08
"180",35.16,0.85,0.73,0.93,0.07,0.06,0.08
"181",35.34,0.85,0.73,0.93,0.07,0.06,0.08
"182",35.53,0.85,0.73,0.93,0.07,0.06,0.08
"183",35.71,0.85,0.73,0.93,0.07,0.06,0.08
"184",35.9,0.85,0.73,0.93,0.07,0.06,0.08
"185",36.08,0.85,0.73,0.93,0.07,0.06,0.08
"186",36.27,0.85,0.73,0.93,0.07,0.06,0.08
"187",36.45,0.85,0.73,0.93,0.07,0.06,0.08
"188",36.64,0.85,0.73,0.93,0.07,0.06,0.08
"189",36.82,0.85,0.73,0.93,0.07,0.06,0.08
"190",37.01,0.85,0.73,0.93,0.07,0.06,0.08
"191",37.19,0.85,0.73,0.93,0.07,0.06,0.08
"192",37.38,0.85,0.73,0.93,0.07,0.06,0.08
"193",37.56,0.85,0.73,0.93,0.07,0.06,0.08
"194",37.75,0.85,0.73,0.93,0.07,0.06,0.08
"195",37.93,0.85,0.73,0.93,0.07,0.06,0.08
"196",38.12,0.85,0.73,0.93,0.07,0.06,0.08
"197",38.31,0.85,0.73,0.93,0.07,0.06,0.08
"198",38.49,0.85,0.73,0.93,0.07,0.06,0.08
"199",38.68,0.85,0.73,0.93,0.07,0.06,0.08
