"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"1",2,0.81,0.5,1,0.22,0.02,0.46
"2",2.19,0.81,0.5,1,0.21,0.02,0.46
"3",2.37,0.81,0.5,1,0.2,0.02,0.45
"4",2.56,0.8,0.5,1,0.2,0.01,0.45
"5",2.74,0.8,0.5,1,0.19,0.01,0.44
"6",2.93,0.8,0.5,1,0.19,0.01,0.44
"7",3.11,0.79,0.5,1,0.18,0.01,0.44
"8",3.3,0.79,0.5,1,0.18,0.01,0.43
"9",3.48,0.79,0.5,1,0.18,0.01,0.43
"10",3.67,0.79,0.5,1,0.17,0.01,0.43
"11",3.85,0.79,0.5,1,0.17,0.01,0.43
"12",4.04,0.78,0.5,1,0.17,0.01,0.42
"13",4.22,0.78,0.5,1,0.16,0.01,0.42
"14",4.41,0.78,0.5,1,0.16,0.01,0.42
"15",4.59,0.78,0.5,1,0.16,0.01,0.41
"16",4.78,0.78,0.5,1,0.16,0.01,0.41
"17",4.96,0.77,0.5,1,0.15,0.01,0.41
"18",5.15,0.77,0.5,1,0.15,0.01,0.41
"19",5.33,0.77,0.5,1,0.15,0.01,0.41
"20",5.52,0.77,0.5,1,0.15,0.01,0.4
"21",5.7,0.77,0.5,1,0.14,0.01,0.4
"22",5.89,0.77,0.5,1,0.14,0.01,0.4
"23",6.08,0.77,0.5,1,0.14,0,0.4
"24",6.26,0.76,0.5,1,0.14,0,0.4
"25",6.45,0.76,0.5,1,0.14,0,0.4
"26",6.63,0.76,0.5,1,0.14,0,0.4
"27",6.82,0.76,0.5,1,0.13,0,0.39
"28",7,0.76,0.5,1,0.13,0,0.39
"29",7.19,0.76,0.5,1,0.13,0,0.39
"30",7.37,0.76,0.5,1,0.13,0,0.39
"31",7.56,0.76,0.5,1,0.13,0,0.39
"32",7.74,0.76,0.5,1,0.13,0,0.39
"33",7.93,0.75,0.5,1,0.13,0,0.39
"34",8.11,0.75,0.5,1,0.13,0,0.38
"35",8.3,0.75,0.5,1,0.12,0,0.38
"36",8.48,0.75,0.5,1,0.12,0,0.38
"37",8.67,0.75,0.5,1,0.12,0,0.38
"38",8.85,0.75,0.5,1,0.12,0,0.38
"39",9.04,0.75,0.5,1,0.12,0,0.38
"40",9.22,0.75,0.5,1,0.12,0,0.38
"41",9.41,0.75,0.5,1,0.12,0,0.38
"42",9.59,0.74,0.5,1,0.12,0,0.37
"43",9.78,0.74,0.5,1,0.12,0,0.37
"44",9.96,0.74,0.5,1,0.12,0,0.37
"45",10.15,0.74,0.5,1,0.11,0,0.37
"46",10.34,0.74,0.5,1,0.11,0,0.37
"47",10.52,0.74,0.5,1,0.11,0,0.37
"48",10.71,0.74,0.5,1,0.11,0,0.37
"49",10.89,0.74,0.5,1,0.11,0,0.37
"50",11.08,0.74,0.5,1,0.11,0,0.37
"51",11.26,0.74,0.5,1,0.11,0,0.37
"52",11.45,0.74,0.5,1,0.11,0,0.37
"53",11.63,0.74,0.5,1,0.11,0,0.37
"54",11.82,0.73,0.5,1,0.11,0,0.36
"55",12,0.73,0.5,1,0.11,0,0.36
"56",12.19,0.73,0.5,1,0.11,0,0.36
"57",12.37,0.73,0.5,1,0.11,0,0.36
"58",12.56,0.73,0.5,1,0.1,0,0.36
"59",12.74,0.73,0.5,1,0.1,0,0.36
"60",12.93,0.73,0.5,1,0.1,0,0.36
"61",13.11,0.73,0.5,1,0.1,0,0.36
"62",13.3,0.73,0.5,1,0.1,0,0.36
"63",13.48,0.73,0.5,1,0.1,0,0.36
"64",13.67,0.73,0.5,1,0.1,0,0.36
"65",13.85,0.73,0.5,1,0.1,0,0.36
"66",14.04,0.73,0.5,1,0.1,0,0.36
"67",14.23,0.73,0.5,1,0.1,0,0.36
"68",14.41,0.72,0.5,1,0.1,0,0.36
"69",14.6,0.72,0.5,1,0.1,0,0.36
"70",14.78,0.72,0.5,1,0.1,0,0.35
"71",14.97,0.72,0.5,1,0.1,0,0.35
"72",15.15,0.72,0.5,1,0.1,0,0.35
"73",15.34,0.72,0.5,1,0.1,0,0.35
"74",15.52,0.72,0.5,1,0.1,0,0.35
"75",15.71,0.72,0.5,1,0.1,0,0.35
"76",15.89,0.72,0.5,1,0.09,0,0.35
"77",16.08,0.72,0.5,1,0.09,0,0.35
"78",16.26,0.72,0.5,1,0.09,0,0.35
"79",16.45,0.72,0.5,1,0.09,0,0.35
"80",16.63,0.72,0.5,1,0.09,0,0.35
"81",16.82,0.72,0.5,1,0.09,0,0.35
"82",17,0.72,0.5,1,0.09,0,0.35
"83",17.19,0.72,0.5,1,0.09,0,0.35
"84",17.37,0.71,0.5,1,0.09,0,0.35
"85",17.56,0.71,0.5,1,0.09,0,0.35
"86",17.74,0.71,0.49,1,0.09,0,0.34
"87",17.93,0.71,0.49,1,0.09,0,0.34
"88",18.12,0.71,0.49,1,0.09,0,0.34
"89",18.3,0.71,0.49,1,0.09,0,0.34
"90",18.49,0.71,0.49,1,0.09,0,0.34
"91",18.67,0.71,0.49,1,0.09,0,0.34
"92",18.86,0.71,0.49,1,0.09,0,0.34
"93",19.04,0.71,0.49,1,0.09,0,0.34
"94",19.23,0.71,0.49,1,0.09,0,0.34
"95",19.41,0.71,0.49,1,0.09,0,0.34
"96",19.6,0.71,0.49,1,0.09,0,0.34
"97",19.78,0.71,0.49,1,0.09,0,0.34
"98",19.97,0.71,0.49,1,0.09,0,0.34
"99",20.15,0.71,0.49,1,0.09,0,0.34
"100",20.34,0.71,0.49,1,0.09,0,0.34
"101",20.52,0.71,0.49,1,0.08,0,0.34
"102",20.71,0.71,0.49,1,0.08,0,0.34
"103",20.89,0.71,0.49,1,0.08,0,0.34
"104",21.08,0.7,0.49,1,0.08,0,0.34
"105",21.26,0.7,0.49,1,0.08,0,0.34
"106",21.45,0.7,0.49,1,0.08,0,0.34
"107",21.63,0.7,0.49,1,0.08,0,0.34
"108",21.82,0.7,0.48,1,0.08,0,0.34
"109",22.01,0.7,0.48,1,0.08,0,0.33
"110",22.19,0.7,0.48,1,0.08,0,0.33
"111",22.38,0.7,0.48,1,0.08,0,0.33
"112",22.56,0.7,0.48,1,0.08,0,0.33
"113",22.75,0.7,0.48,1,0.08,0,0.33
"114",22.93,0.7,0.48,1,0.08,0,0.33
"115",23.12,0.7,0.48,1,0.08,0,0.33
"116",23.3,0.7,0.48,1,0.08,0,0.33
"117",23.49,0.7,0.48,1,0.08,0,0.33
"118",23.67,0.7,0.48,1,0.08,0,0.33
