"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"1",2,0.92,0.75,0.99,0.22,0.13,0.32
"2",2.19,0.91,0.75,0.99,0.21,0.12,0.31
"3",2.37,0.91,0.74,0.99,0.21,0.12,0.3
"4",2.56,0.91,0.74,0.99,0.2,0.11,0.29
"5",2.74,0.91,0.74,0.99,0.19,0.11,0.29
"6",2.93,0.91,0.74,0.99,0.19,0.11,0.28
"7",3.11,0.91,0.74,0.99,0.19,0.1,0.28
"8",3.3,0.9,0.74,0.99,0.18,0.1,0.27
"9",3.48,0.9,0.74,0.99,0.18,0.1,0.27
"10",3.67,0.9,0.73,0.99,0.17,0.09,0.26
"11",3.85,0.9,0.73,0.99,0.17,0.09,0.26
"12",4.04,0.9,0.73,0.99,0.17,0.09,0.26
"13",4.22,0.9,0.73,0.99,0.16,0.09,0.25
"14",4.41,0.9,0.73,0.99,0.16,0.09,0.25
"15",4.59,0.9,0.73,0.99,0.16,0.08,0.25
"16",4.78,0.9,0.73,0.99,0.16,0.08,0.24
"17",4.96,0.9,0.73,0.98,0.15,0.08,0.24
"18",5.15,0.89,0.72,0.98,0.15,0.08,0.24
"19",5.33,0.89,0.72,0.98,0.15,0.08,0.24
"20",5.52,0.89,0.72,0.98,0.15,0.07,0.23
"21",5.7,0.89,0.72,0.98,0.15,0.07,0.23
"22",5.89,0.89,0.72,0.98,0.14,0.07,0.23
"23",6.08,0.89,0.72,0.98,0.14,0.07,0.23
"24",6.26,0.89,0.72,0.98,0.14,0.07,0.23
"25",6.45,0.89,0.72,0.98,0.14,0.07,0.22
"26",6.63,0.89,0.72,0.98,0.14,0.07,0.22
"27",6.82,0.89,0.72,0.98,0.14,0.07,0.22
"28",7,0.89,0.72,0.98,0.13,0.07,0.22
"29",7.19,0.89,0.71,0.98,0.13,0.06,0.22
"30",7.37,0.88,0.71,0.98,0.13,0.06,0.21
"31",7.56,0.88,0.71,0.98,0.13,0.06,0.21
"32",7.74,0.88,0.71,0.98,0.13,0.06,0.21
"33",7.93,0.88,0.71,0.98,0.13,0.06,0.21
"34",8.11,0.88,0.71,0.98,0.13,0.06,0.21
"35",8.3,0.88,0.71,0.98,0.13,0.06,0.21
